Department,Municipality,Total 2005,Households 2005
Nariño,Santa Bárbara,8615,
Nariño,Santacruz,16869,3441
Nariño,Sapuyes,7369,1714
Nariño,Taminango,17354,4246
Nariño,Tangua,10672,2571
Nariño,San Andres de Tumaco,161490,37164
Nariño,Túquerres,41205,9809
Nariño,Yacuanquer,10012,2354
Norte de Santander,Cúcuta,585543,145306
Norte de Santander,Abrego,32142,7389
Norte de Santander,Arboledas,8589,2006
Norte de Santander,Bochalema,6558,1588
Norte de Santander,Bucarasica,4507,891
Norte de Santander,Cácota,2513,638
Norte de Santander,Cachirá,10557,2413
Norte de Santander,Chinácota,14736,3850
Norte de Santander,Chitagá,9615,2238
Norte de Santander,Convención,14018,3484
Norte de Santander,Cucutilla,8318,1969
Norte de Santander,Durania,4181,1047
Norte de Santander,El Carmen,11750,2850
Norte de Santander,El Tarra,9925,2135
Norte de Santander,El Zulia,20247,4793
Norte de Santander,Gramalote,6233,1527
Norte de Santander,Hacarí,8116,1727
Norte de Santander,Herrán,4446,860
Norte de Santander,Labateca,5776,1397
Norte de Santander,La Esperanza,10889,2455
Norte de Santander,La Playa,5806,1398
Norte de Santander,Los Patios,67441,16915
Norte de Santander,Lourdes,3407,764
Norte de Santander,Mutiscua,3847,1005
Norte de Santander,Ocaña,90037,22490
Norte de Santander,Pamplona,52903,13880
Norte de Santander,Pamplonita,4767,1148
Norte de Santander,Puerto Santander,8112,1624
Norte de Santander,Ragonvalia,6757,1283
Norte de Santander,Salazar,9272,2183
Norte de Santander,San Calixto,9837,2028
Norte de Santander,San Cayetano,4491,1165
Norte de Santander,Santiago,2662,618
Norte de Santander,Sardinata,19425,4141
Norte de Santander,Silos,5186,1336
Norte de Santander,Teorama,15292,3410
Norte de Santander,Tibú,30059,7248
Norte de Santander,Toledo,15378,3722
Norte de Santander,Villa Caro,5007,1126
Norte de Santander,Villa del Rosario,69991,17238
Quindío,Armenia,272574,76779
Quindío,Buenavista,2954,741
Quindío,Calarca,71605,19373
Quindío,Circasia,26705,7262
Quindío,Córdoba,5238,1420
Quindío,Filandia,12510,3332
Quindío,Génova,9293,2442
Quindío,La Tebaida,32748,8877
Quindío,Montenegro,38714,10271
Quindío,Pijao,6421,1675
Quindío,Quimbaya,32928,8932
Quindío,Salento,7001,1878
Risaralda,Pereira,428397,118529
Risaralda,Apía,12889,3389
Risaralda,Balboa,6081,1571
Risaralda,Belén de Umbría,26603,6848
Risaralda,Dosquebradas,173452,46375
Risaralda,Guática,15102,4041
Risaralda,La Celia,8348,2172
Risaralda,La Virginia,30095,8190
Risaralda,Marsella,20683,4854
Risaralda,Mistrató,12438,3176
Risaralda,Pueblo Rico,11436,2738
Risaralda,Quinchía,31996,7603
Risaralda,Santa Rosa de Cabal,67410,17202
Risaralda,Santuario,14736,3844
Santander,Bucaramanga,509918,137978
Santander,Aguada,1817,521
Santander,Albania,4300,1277
Santander,Aratoca,8285,1845
Santander,Barbosa,25768,7122
Santander,Barichara,7063,1886
Santander,Barrancabermeja,187311,48963
Santander,Betulia,5244,1256
Santander,Bolívar,12858,3198
Santander,Cabrera,1874,467
Santander,California,1783,399
Santander,Capitanejo,5988,1651
Santander,Carcasí,5073,1247
Santander,Cepitá,1984,475
Santander,Cerrito,6187,1585
Santander,Charalá,11119,3224
Santander,Charta,3069,858
Santander,Chima,3273,847
Santander,Chipatá,4972,1398
Santander,Cimitarra,32124,8530
Santander,Concepción,5738,1575
Santander,Confines,2705,708
Santander,Contratación,3904,1168
Santander,Coromoro,6110,1669
Santander,Curití,11343,2774
Santander,El Carmen de Chucurí,18103,5076
Santander,El Guacamayo,2256,591
Santander,El Peñón,5472,1283
Santander,El Playón,12880,3153
Santander,Encino,2668,657
Santander,Enciso,3894,990
Santander,Florián,6273,1572
Santander,Floridablanca,252472,65185
Santander,Galán,2903,787
Santander,Gambita,3841,1030
Santander,Girón,135531,33545
Santander,Guaca,6780,1628
Santander,Guadalupe,5415,1476
Santander,Guapotá,2229,633
Santander,Guavatá,4283,1270
Santander,Güepsa,4200,1139
Santander,Hato,2358,547
Santander,Jesús María,3390,900
Santander,Jordán,1140,229
Santander,La Belleza,6838,1796
Santander,Landázuri,13143,3276
Santander,La Paz,5442,1465
Santander,Lebríja,30984,7503
Santander,Los Santos,10614,2531
Santander,Macaravita,2640,658
Santander,Málaga,18343,4937
Santander,Matanza,5689,1396
Santander,Mogotes,10664,2670
Santander,Molagavita,5303,1345
Santander,Ocamonte,4877,1313
Santander,Oiba,10815,2491
Santander,Onzaga,5527,1618
Santander,Palmar,2015,339
Santander,Palmas del Socorro,2391,642
Santander,Páramo,3643,822
Santander,Piedecuesta,116914,29487
Santander,Pinchote,3740,927
Santander,Puente Nacional,14243,4125
Santander,Puerto Parra,6462,1404
Santander,Puerto Wilches,31058,7229
Santander,Rionegro,26768,6561
Santander,Sabana de Torres,19448,5077
Santander,San Andrés,9480,2505
Santander,San Benito,3844,798
Santander,San Gil,42988,11660
Santander,San Joaquín,2862,784
Santander,San José de Miranda,4731,1118
Santander,San Miguel,2592,676
Santander,San Vicente de Chucurí,28084,6925
Santander,Santa Bárbara,2271,591
Santander,Santa Helena del Opón,4329,1053
Santander,Simacota,8744,2053
Santander,Socorro,28758,7417
Santander,Suaita,9969,2780
Santander,Sucre,8998,2246
Santander,Suratá,3565,977
Santander,Tona,6651,1859
Santander,Valle de San José,5082,1314
Santander,Vélez,19265,5153
Santander,Vetas,1709,475
Santander,Villanueva,6808,1776
Santander,Zapatoca,9255,2564
Sucre,Sincelejo,236780,52164
Sucre,Buenavista,8898,2057
Sucre,Caimito,10960,2335
Sucre,Coloso,6013,1397
Sucre,Corozal,57300,12344
Sucre,Coveñas,11270,2472
Sucre,Chalán,3870,811
Sucre,El Roble,8469,1957
Sucre,Galeras,17251,3882
Sucre,Guaranda,15080,3222
Sucre,La Unión,10279,2096
Sucre,Los Palmitos,18344,3941
Sucre,Majagual,31213,6729
Sucre,Morroa,12784,2746
Sucre,Ovejas,20551,4587
Sucre,Palmito,11432,2106
Sucre,Sampués,36090,7251
Sucre,San Benito Abad,22579,5145
Sucre,San Juan de Betulia,12215,2733
Sucre,San Marcos,50336,10966
Sucre,San Onofre,45672,9664
Sucre,San Pedro,16211,3652
Sucre,San Luis de Sincé,30406,6874
Sucre,Sucre,21716,5045
Sucre,Santiago de Tolú,27957,6394
Sucre,Tolú Viejo,18587,3970
Tolima,Ibagué,495246,136441
Tolima,Alpujarra,5098,1565
Tolima,Alvarado,8873,2289
Tolima,Ambalema,7563,2154
Tolima,Anzoátegui,8371,2011
Tolima,Armero,12852,3514
Tolima,Ataco,15665,3917
Tolima,Cajamarca,19501,5091
Tolima,Carmen de Apicalá,8330,2380
Tolima,Casabianca,6793,1746
Tolima,Chaparral,46090,12059
Tolima,Coello,8940,2258
Tolima,Coyaima,27733,6217
Tolima,Cunday,8445,2509
Tolima,Dolores,5636,1671
Tolima,Espinal,75375,18694
Tolima,Falan,7923,2191
Tolima,Flandes,27683,7418
Tolima,Fresno,30750,8376
Tolima,Guamo,34254,9379
Tolima,Herveo,8901,2332
Tolima,Honda,26873,7484
Tolima,Icononzo,10130,2901
Tolima,Lérida,18115,5114
Tolima,Líbano,41650,11583
Tolima,Mariquita,32642,9575
Tolima,Melgar,32636,9146
Tolima,Murillo,4953,1162
Tolima,Natagaima,20268,5426
Tolima,Ortega,30536,7101
Tolima,Palocabildo,9433,2432
Tolima,Piedras,5370,1519
Tolima,Planadas,25442,6089
Tolima,Prado,8605,2437
Tolima,Purificación,27586,7496
Tolima,Rioblanco,24993,5858
Tolima,Roncesvalles,6090,1596
Tolima,Rovira,21250,5454
Tolima,Saldaña,14732,3954
Tolima,San Antonio,14970,3723
Tolima,San Luis,13447,3755
Tolima,Santa Isabel,6453,1678
Tolima,Suárez,4472,1196
Tolima,Valle de San Juan,6131,1593
Tolima,Venadillo,18576,5037
Tolima,Villahermosa,10919,2840
Tolima,Villarrica,6010,1963
Valle del Cauca,Cali,2075380,554918
Valle del Cauca,Alcalá,12716,3376
Valle del Cauca,Andalucía,17518,4673
Valle del Cauca,Ansermanuevo,19836,5051
Valle del Cauca,Argelia,5891,1575
Valle del Cauca,Bolívar,14827,3790
Valle del Cauca,Buenaventura,324207,73465
Valle del Cauca,Guadalajara de Buga,111487,30857
Valle del Cauca,Bugalagrande,20990,5592
Valle del Cauca,Caicedonia,29808,8392
Valle del Cauca,Calima,15111,4520
Valle del Cauca,Candelaria,68820,18878
Valle del Cauca,Cartago,121741,34523
Valle del Cauca,Dagua,34310,9701
Valle del Cauca,El Águila,9224,2385
Valle del Cauca,El Cairo,9105,1924
Valle del Cauca,El Cerrito,53244,13939
Valle del Cauca,El Dovio,9090,2459
Valle del Cauca,Florida,54626,14018
Valle del Cauca,Ginebra,18808,5312
Valle del Cauca,Guacarí,31055,8039
Valle del Cauca,Jamundí,93556,24026
Valle del Cauca,La Cumbre,10822,3311
Valle del Cauca,La Unión,31123,8482
Valle del Cauca,La Victoria,13722,3993
Valle del Cauca,Obando,14009,3465
Valle del Cauca,Palmira,278358,74940
Valle del Cauca,Pradera,47755,11895
Valle del Cauca,Restrepo,13881,3880
Valle del Cauca,Riofrío,15402,4092
Valle del Cauca,Roldanillo,33697,9047
Valle del Cauca,San Pedro,15428,4019
Valle del Cauca,Sevilla,41632,11348
Valle del Cauca,Toro,15395,4124
Valle del Cauca,Trujillo,18142,4733
Valle del Cauca,Tuluá,183236,48941
Valle del Cauca,Ulloa,5166,1336
Valle del Cauca,Versalles,7987,2161
Valle del Cauca,Vijes,9592,2790
Valle del Cauca,Yotoco,15155,4073
Valle del Cauca,Yumbo,90642,24774
Valle del Cauca,Zarzal,40041,10691
Arauca,Arauca,68222,15978
Arauca,Arauquita,15951,3756
Arauca,Cravo Norte,2970,717
Arauca,Fortul,4393,1073
Arauca,Puerto Rondón,2656,642
Arauca,Saravena,35279,8867
Arauca,Tame,23557,5979
Casanare,Yopal,103754,28102
Casanare,Aguazul,27443,7434
Casanare,Chameza,1697,379
Casanare,Hato Corozal,9618,2205
Casanare,La Salina,1236,294
Casanare,Maní,10493,2695
Casanare,Monterrey,11421,3064
Casanare,Nunchía,7909,1824
Casanare,Orocué,7324,1730
Casanare,Paz de Ariporo,25324,6122
Casanare,Pore,7490,1749
Casanare,Recetor,1544,340
Casanare,Sabanalarga,3232,884
Casanare,Sácama,1638,416
Casanare,San Luis de Palenque,6982,1602
Casanare,Támara,6480,1565
Casanare,Tauramena,15896,3972
Casanare,Trinidad,11083,2430
Casanare,Villanueva,20730,5821
Putumayo,Mocoa,36185,9447
Putumayo,Colón,4198,1066
Putumayo,Orito,39519,9674
Putumayo,Puerto Asís,45745,12192
Putumayo,Puerto Caicedo,10581,2841
Putumayo,Puerto Guzmán,5114,1244
Putumayo,Leguízamo,9938,2435
Putumayo,Sibundoy,11529,2992
Putumayo,San Francisco,5270,1316
Putumayo,San Miguel,15245,4104
Putumayo,Santiago,5830,1559
Putumayo,Valle del Guamuez,32958,8902
Putumayo,Villagarzón,15085,4011
Archipiélago de San Andrés,San Andrés,55426,14873
Archipiélago de San Andrés,Providencia,4147,1277
Amazonas,Leticia,32450,7352
Amazonas,El Encanto,138,
Amazonas,La Chorrera,2027,
Amazonas,La Pedrera,1187,
Amazonas,Miriti - Paraná,13,
Amazonas,Puerto Alegría,4,
Amazonas,Puerto Arica,1343,209
Amazonas,Puerto Nariño,6816,1246
Amazonas,Puerto Santander,565,
Amazonas,Tarapacá,2407,400
Guainía,Inírida,15676,3784
Guainía,Barranco Minas,1262,272
Guainía,San Felipe,470,116
Guainía,Puerto Colombia,1043,
Guainía,La Guadalupe,226,
Guainía,Cacahual,120,
Guaviare,San José del Guaviare,39839,9805
Guaviare,Calamar,6094,1783
Guaviare,El Retorno,4119,1473
Guaviare,Miraflores,6706,1998
Vaupés,Mitú,16980,3653
Vaupés,Caruru,641,110
Vaupés,Taraira,1015,226
Vaupés,Papunaua,106,
Vaupés,Yavaraté,1201,206
Vichada,Puerto Carreño,12897,2804
Vichada,La Primavera,4517,
Vichada,Santa Rosalía,3188,584
Vichada,Cumaribo,23990,4967
