Department,Municipality,Total 2005,Households 2005
Bolívar,Río Viejo,15243,3012
Bolívar,San Cristóbal,6578,1401
Bolívar,San Estanislao,15269,3100
Bolívar,San Fernando,12632,2576
Bolívar,San Jacinto,21218,4633
Bolívar,San Jacinto del Cauca,7204,
Bolívar,San Juan Nepomuceno,32296,7314
Bolívar,San Martín de Loba,14365,2791
Bolívar,San Pablo,27108,6580
Bolívar,Santa Catalina,12042,2615
Bolívar,Santa Rosa,18365,3890
Bolívar,Santa Rosa del Sur,26896,6264
Bolívar,Simití,18139,3938
Bolívar,Soplaviento,8303,2060
Bolívar,Talaigua Nuevo,10973,2160
Bolívar,Tiquisio,18714,3515
Bolívar,Turbaco,63450,13922
Bolívar,Turbaná,13507,2514
Bolívar,Villanueva,17622,3615
Bolívar,Zambrano,10246,2258
Boyacá,Tunja,152419,42449
Boyacá,Almeida,2171,752
Boyacá,Aquitania,16087,4394
Boyacá,Arcabuco,5090,1354
Boyacá,Belén,8471,2328
Boyacá,Berbeo,1862,555
Boyacá,Betéitiva,2413,541
Boyacá,Boavita,6467,1798
Boyacá,Boyacá,4947,1370
Boyacá,Briceño,2669,673
Boyacá,Buenavista,5759,1555
Boyacá,Busbanzá,875,214
Boyacá,Caldas,3893,1014
Boyacá,Campohermoso,3949,1115
Boyacá,Cerinza,4199,1142
Boyacá,Chinavita,3651,1149
Boyacá,Chiquinquirá,54949,13911
Boyacá,Chiscas,5175,1332
Boyacá,Chita,10405,2539
Boyacá,Chitaraque,6500,1573
Boyacá,Chivatá,4977,1124
Boyacá,Ciénega,5096,1350
Boyacá,Cómbita,12752,2454
Boyacá,Coper,4047,1097
Boyacá,Corrales,2481,676
Boyacá,Covarachía,3205,833
Boyacá,Cubará,6462,1391
Boyacá,Cucaita,4474,1042
Boyacá,Cuítiva,1969,523
Boyacá,Chíquiza,5916,1306
Boyacá,Chivor,2126,575
Boyacá,Duitama,105407,28358
Boyacá,El Cocuy,5383,1364
Boyacá,El Espino,3914,864
Boyacá,Firavitoba,6177,1725
Boyacá,Floresta,3833,1073
Boyacá,Gachantivá,2985,845
Boyacá,Gameza,4895,1263
Boyacá,Garagoa,16195,4502
Boyacá,Guacamayas,2042,601
Boyacá,Guateque,9921,3028
Boyacá,Guayatá,6018,2312
Boyacá,Güicán,5920,1337
Boyacá,Iza,2081,582
Boyacá,Jenesano,7287,2157
Boyacá,Jericó,4538,1176
Boyacá,Labranzagrande,5231,1560
Boyacá,La Capilla,3052,1019
Boyacá,La Victoria,1645,417
Boyacá,La Uvita,3390,1031
Boyacá,Villa de Leyva,9645,2635
Boyacá,Macanal,4611,1397
Boyacá,Maripí,7680,1845
Boyacá,Miraflores,9455,2812
Boyacá,Mongua,5080,1365
Boyacá,Monguí,4901,1287
Boyacá,Moniquirá,21377,5901
Boyacá,Motavita,5926,1144
Boyacá,Muzo,9834,2673
Boyacá,Nobsa,14969,3708
Boyacá,Nuevo Colón,5962,1615
Boyacá,Oicatá,2770,623
Boyacá,Otanche,10244,2541
Boyacá,Pachavita,2968,948
Boyacá,Páez,3242,937
Boyacá,Paipa,27274,7228
Boyacá,Pajarito,2168,586
Boyacá,Panqueba,1781,471
Boyacá,Pauna,10155,2467
Boyacá,Paya,2587,604
Boyacá,Paz de Río,5083,1498
Boyacá,Pesca,9322,2376
Boyacá,Pisba,1481,357
Boyacá,Puerto Boyacá,49912,13700
Boyacá,Quípama,8405,2168
Boyacá,Ramiriquí,9700,2513
Boyacá,Ráquira,12299,2497
Boyacá,Rondón,2934,857
Boyacá,Saboyá,12611,3221
Boyacá,Sáchica,3783,857
