Department,Municipality,Total 2018,Housing units 2018,Households 2018,People 2018
Atlántico,Juan de Acosta,20999,5943,5230,18828
Atlántico,Luruaco,28175,7393,6992,27647
Atlántico,Malambo,128203,33064,29928,119920
Atlántico,Manatí,19808,4419,4745,19233
Atlántico,Palmar de Varela,28932,6878,7507,27098
Atlántico,Piojó,6608,1617,1535,5636
Atlántico,Polonuevo,18197,4437,4709,16222
Atlántico,Ponedera,23848,5699,5675,23420
Atlántico,Puerto Colombia,49264,15230,13006,47899
Atlántico,Repelón,26200,7088,6797,25467
Atlántico,Sabanagrande,32334,7894,7738,32026
Atlántico,Sabanalarga,93261,23620,22408,92480
Atlántico,Santa Lucía,16023,3347,3701,12650
Atlántico,Santo Tomás,29829,7540,7444,28693
Atlántico,Soledad,603999,147987,143217,535984
Atlántico,Suan,11940,2684,2924,11607
Atlántico,Tubará,17377,4456,3779,12718
Atlántico,Usiacurí,12250,2529,2850,9543
"Bogotá, D.C.","Bogotá, D.C.",7412566,2523519,2514482,7181469
Bolívar,Cartagena,973045,294494,260346,887946
Bolívar,Achí,24352,5968,5701,18879
Bolívar,Altos del Rosario,10972,2639,2397,9009
Bolívar,Arenal,7365,2368,2059,7169
Bolívar,Arjona,69503,19390,17411,67118
Bolívar,Arroyohondo,8254,1872,1710,8058
Bolívar,Barranco de Loba,14836,4577,3855,14435
Bolívar,Calamar,22474,6187,5554,22202
Bolívar,Cantagallo,8234,2753,2401,6874
Bolívar,Cicuco,13442,3629,3510,13120
Bolívar,Córdoba,15960,4611,4170,15012
Bolívar,Clemencia,14511,4154,3998,13821
Bolívar,El Carmen de Bolívar,70131,19511,18104,67461
Bolívar,El Guamo,8647,2483,2222,7861
Bolívar,El Peñón,7651,1954,2000,7234
Bolívar,Hatillo de Loba,12317,2992,2608,11770
Bolívar,Magangué,133270,37569,34050,128003
Bolívar,Mahates,27692,7511,7447,26075
Bolívar,Margarita,10673,2791,2787,9720
Bolívar,María La Baja,46112,12618,11610,45324
Bolívar,Montecristo,16389,4509,4292,13470
Bolívar,Mompós,44442,12876,11287,43217
Bolívar,Morales,22259,5806,6122,18678
Bolívar,Norosí,9212,2782,2526,7899
Bolívar,Pinillos,24218,5338,6329,23349
Bolívar,Regidor,6723,1866,1729,5335
Bolívar,Río Viejo ,10598,3072,2612,8125
Bolívar,San Cristóbal,8054,1970,2260,7454
Bolívar,San Estanislao,18251,4677,4983,16518
Bolívar,San Fernando,12536,2782,2881,9776
Bolívar,San Jacinto,23913,7361,6426,23576
Bolívar,San Jacinto del Cauca,9935,2662,2421,8079
Bolívar,San Juan Nepomuceno,36874,10598,9625,35438
Bolívar,San Martín de Loba,14774,4226,3634,14504
Bolívar,San Pablo,27190,9484,7194,24669
Bolívar,Santa Catalina,14563,4271,3684,14039
Bolívar,Santa Rosa,20963,5188,5292,18375
Bolívar,Santa Rosa del Sur,32646,8660,9732,27825
Bolívar,Simití,18110,5567,4447,15353
Bolívar,Soplaviento,10650,2496,2990,9187
Bolívar,Talaigua Nuevo,13108,3436,3332,12845
Bolívar,Tiquisio,18035,5440,4376,17939
Bolívar,Turbaco,105166,30456,27503,98667
Bolívar,Turbaná,16403,4455,4065,15550
Bolívar,Villanueva,23777,5504,6001,21135
Bolívar,Zambrano,11880,3385,3011,11367
Boyacá,Tunja,172548,64550,55679,167991
Boyacá,Almeida,1910,981,690,1582
Boyacá,Aquitania,15377,6702,4621,13860
Boyacá,Arcabuco,5831,2533,1820,5465
Boyacá,Belén,7481,3691,2463,7322
Boyacá,Berbeo,1596,680,575,1453
Boyacá,Betéitiva,1963,1512,748,1895
Boyacá,Boavita,5059,2629,1853,5024
