Department,Municipality,Total 2018,Housing units 2018,Households 2018,People 2018
Cundinamarca,Ubalá,7717,3888,2439,7583
Cundinamarca,Ubaque,6727,3394,2287,6390
Cundinamarca,Villa de San Diego de Ubate,42558,14393,12352,40001
Cundinamarca,Une,6945,2751,2304,6902
Cundinamarca,Útica,4246,2005,1648,4032
Cundinamarca,Vergara,6847,2881,2289,6063
Cundinamarca,Vianí,4339,1767,1460,3806
Cundinamarca,Villagómez,1758,927,628,1712
Cundinamarca,Villapinzón,17187,6032,4665,15834
Cundinamarca,Villeta,26873,12583,9397,25957
Cundinamarca,Viotá,13234,6218,4716,12589
Cundinamarca,Yacopí,12322,5250,3983,10887
Cundinamarca,Zipacón,4659,1826,1560,4211
Cundinamarca,Zipaquirá,130537,46309,40730,129652
Chocó,Quibdó,129237,43775,36380,120679
Chocó,Acandí,13999,5098,3921,12095
Chocó,Alto Baudo,27584,5382,5349,23954
Chocó,Atrato,6063,2135,1749,5519
Chocó,Bagadó,11011,3195,2933,10583
Chocó,Bahía Solano,10123,2918,2591,9417
Chocó,Bajo Baudó,29957,4576,4492,18561
Chocó,Bojaya,12073,3112,3033,11933
Chocó,El Cantón del San Pablo,6116,2443,1774,5663
Chocó,Carmen del Darien,18433,4018,3825,13189
Chocó,Cértegui,5635,2280,1646,4683
Chocó,Condoto,12663,4869,3853,12251
Chocó,El Carmen de Atrato,8193,2624,2433,7900
Chocó,El Litoral del San Juan,21669,3003,2870,11579
Chocó,Istmina,30742,11340,8272,28087
Chocó,Juradó,6685,1102,1039,4108
Chocó,Lloró,9786,2875,2444,8928
Chocó,Medio Atrato,10672,3171,3003,10140
Chocó,Medio Baudó,15109,4007,3739,13423
Chocó,Medio San Juan,10579,3410,2822,9073
Chocó,Nóvita,9153,3124,2707,8164
Chocó,Nuquí,16223,876,864,3456
Chocó,Río Iro,5467,1606,1376,4525
Chocó,Río Quito,8236,2661,2149,7974
Chocó,Riosucio,53449,14596,14795,48257
Chocó,San José del Palmar,5114,2091,1536,4721
Chocó,Sipí,3174,982,864,2768
Chocó,Tadó,18011,6218,5446,17000
Chocó,Unguía,12854,4650,3741,12192
Chocó,Unión Panamericana,6816,2641,2041,6590
Huila,Neiva,357392,127908,101646,314526
Huila,Acevedo,24774,9215,7274,24562
Huila,Agrado,8800,3290,2540,8593
Huila,Aipe,16163,5817,4604,14817
Huila,Algeciras,22481,8028,6700,20259
Huila,Altamira,4275,1596,1374,4169
Huila,Baraya,8338,2573,2224,6679
Huila,Campoalegre,31087,11312,10011,30183
Huila,Colombia,7285,3060,2237,7040
Huila,Elías,4211,1506,1240,3736
Huila,Garzón,72382,25270,20978,66311
Huila,Gigante,24583,9463,7231,22871
Huila,Guadalupe,17890,6146,4755,15913
Huila,Hobo,7286,2963,2289,6700
Huila,Iquira,9248,3920,2694,9064
Huila,Isnos,25186,8873,7940,24593
Huila,La Argentina,12866,5286,3919,12475
Huila,La Plata,61026,18214,17536,54405
Huila,Nátaga,6469,2375,1968,6168
Huila,Oporapa,11629,3747,3064,11111
Huila,Paicol,6583,2408,1993,6424
Huila,Palermo,26279,10498,7946,24243
Huila,Palestina,11159,3365,2992,10454
Huila,Pital,13787,4761,3700,12246
Huila,Pitalito,124359,44709,36157,120287
Huila,Rivera,24312,8444,6759,22877
Huila,Saladoblanco,10444,3641,2922,10076
Huila,San Agustín,33028,11513,10475,32409
Huila,Santa María,10405,4326,3130,10215
Huila,Suaza,21853,7010,6143,17376
Huila,Tarqui,17440,6191,5001,16108
Huila,Tesalia,10697,3469,3128,9767
Huila,Tello,11800,4455,3099,10273
Huila,Teruel,8052,2783,2352,7376
Huila,Timaná,21799,7428,6905,20919
Huila,Villavieja,7288,2778,2480,6943
Huila,Yaguará,7730,3094,2344,7380
La Guajira,Riohacha,188014,53673,50742,177573
La Guajira,Albania,29148,7332,7576,26940
La Guajira,Barrancas,35743,8423,7781,28549
La Guajira,Dibulla,37740,9577,9055,36196
La Guajira,Distracción,13016,3805,3376,11934
La Guajira,El Molino,7185,2431,1958,6963
La Guajira,Fonseca,42772,12395,11302,40852
La Guajira,Hatonuevo,20044,5593,5243,17672
La Guajira,La Jagua del Pilar,3498,870,897,2952
La Guajira,Maicao,170582,48148,44257,159223
La Guajira,Manaure,83072,20550,20012,74528
La Guajira,San Juan del Cesar,46953,15440,13377,46077
La Guajira,Uribia,163462,41496,41153,160711
La Guajira,Urumita,10985,2917,3003,10198
La Guajira,Villanueva,28346,6884,7635,24996
Magdalena,Santa Marta,499192,174942,133127,479853
Magdalena,Algarrobo,15511,3846,3785,14294
Magdalena,Aracataca,39857,9669,10199,37476
Magdalena,Ariguaní,30218,8560,7730,28348
Magdalena,Cerro San Antonio,9890,2350,2574,9225
Magdalena,Chivolo,21862,5466,5407,18208
Magdalena,Ciénaga,120071,32169,29521,118435
Magdalena,Concordia,10505,3131,2850,9681
Magdalena,El Banco,65457,16639,17164,59594
Magdalena,El Piñon,22530,4975,5301,17308
Magdalena,El Retén,19697,5121,4467,19345
Magdalena,Fundación,66433,19116,16472,64833
Magdalena,Guamal,26620,7067,6314,25312
Magdalena,Nueva Granada,19663,5038,4587,17470
Magdalena,Pedraza,9196,2450,2177,7569
Magdalena,Pijiño del Carmen,12093,3524,3073,11071
Magdalena,Pivijay,37341,11382,9473,34374
Magdalena,Plato,61766,15533,16141,56210
Magdalena,Puebloviejo,29824,5689,7631,26419
Magdalena,Remolino,11445,2906,2944,9555
Magdalena,Sabanas de San Angel,15644,4274,3404,14060
Magdalena,Salamina,10733,2989,2858,9360
Magdalena,San Sebastián de Buenavista,19523,5493,4840,18865
Magdalena,San Zenón,11681,3072,2908,11279
Magdalena,Santa Ana,25438,6751,6635,22723
Magdalena,Santa Bárbara de Pinto,10575,3296,2640,9345
Magdalena,Sitionuevo,27128,6343,6783,25804
Magdalena,Tenerife,13236,3928,3583,12364
Magdalena,Zapayán,9895,2435,2346,8606
Magdalena,Zona Bananera,68722,16887,16856,66802
Meta,Villavicencio,531275,187419,150681,451212
Meta,Acacías,88023,28518,24858,78199
Meta,Barranca de Upía,6440,2215,1842,5946
Meta,Cabuyaro,6062,2199,1749,5432
Meta,Castilla la Nueva,14300,4469,4228,13611
Meta,Cubarral,6963,3155,2441,6377
Meta,Cumaral,22831,7944,7666,21397
Meta,El Calvario,1776,804,537,1575
Meta,El Castillo,7977,3113,2448,7397
Meta,El Dorado,3888,1656,1312,3699
Meta,Fuente de Oro,12129,4790,3839,11599
Meta,Granada,68876,29076,22159,64932
Meta,Guamal,14119,5121,4531,13857
Meta,Mapiripán,7007,2008,1891,6036
Meta,Mesetas,11159,4443,3558,9751
Meta,La Macarena,26890,9091,7256,23877
Meta,Uribe,9284,3062,2606,8549
Meta,Lejanías,11463,3896,3651,10576
Meta,Puerto Concordia,8390,3248,2844,8086
Meta,Puerto Gaitán,41513,12897,11234,41017
Meta,Puerto López,30399,11246,9203,28270
Meta,Puerto Lleras,10423,4128,3200,8982
Meta,Puerto Rico,13061,5259,4091,11433
Meta,Restrepo,18268,7987,5740,17610
Meta,San Carlos de Guaroa,12296,4364,3596,11512
Meta,San Juan de Arama,9118,3415,3075,8242
Meta,San Juanito,1307,453,362,1149
Meta,San Martín,26707,9020,8044,22281
Meta,Vistahermosa,17778,7428,5602,16525
Nariño,Pasto,392930,130789,113732,352326
Nariño,Albán,9642,2540,3389,8197
Nariño,Aldana,7392,2164,2388,6872
Nariño,Ancuyá,8801,2694,3343,7481
Nariño,Arboleda,8443,2672,2337,7626
Nariño,Barbacoas,55633,9884,9786,34248
Nariño,Belén,6322,1616,2167,5968
Nariño,Buesaco,23908,8876,7565,19951
Nariño,Colón,8526,2800,2821,7764
Nariño,Consaca,13784,3892,4169,10117
Nariño,Contadero,7270,2389,2314,6421
Nariño,Córdoba,15516,5266,5172,14827
Nariño,Cuaspud,9201,2910,2925,8975
Nariño,Cumbal,36864,11881,10817,32672
Nariño,Cumbitara,5948,2371,1850,5096
Nariño,Chachagüí,15354,7122,3955,12419
Nariño,El Charco,22505,5872,5794,21071
Nariño,El Peñol,7446,2414,2338,6223
Nariño,El Rosario,12280,2916,3013,6498
Nariño,El Tablón de Gómez,14342,5242,4946,13255
Nariño,El Tambo,14283,5374,4915,12457
Nariño,Funes,7222,2643,2600,6211
Nariño,Guachucal,19450,6327,6583,18845
Nariño,Guaitarilla,11582,4427,4294,10774
Nariño,Gualmatán,7057,2243,2299,6290
Nariño,Iles,7662,3131,2684,7112
Nariño,Imués,7657,3456,2407,6351
Nariño,Ipiales,116136,36627,33706,105517
Nariño,La Cruz,18754,6013,6226,16674
Nariño,La Florida,10104,4499,3470,9047
Nariño,La Llanada,6492,2454,2271,5321
Nariño,La Tola,7411,1764,1522,5847
Nariño,La Unión,31858,9050,10569,28659
Nariño,Leiva,9768,3130,3393,8201
Nariño,Linares,10236,3705,3538,8974
Nariño,Los Andes,9547,3246,3082,8703
Nariño,Magüi,24705,4206,3847,18262
Nariño,Mallama,8976,2928,2781,8013
Nariño,Mosquera,11984,2946,2921,10206
Nariño,Nariño,4364,1383,1450,4007
Nariño,Olaya Herrera,25358,6340,6055,21415
Nariño,Ospina,7105,2593,2502,6488
Nariño,Francisco Pizarro,14193,2440,2265,7430
Nariño,Policarpa,9897,3214,3005,8149
Nariño,Potosí,10414,3466,3363,10186
Nariño,Providencia,5572,2209,2133,4619
Nariño,Puerres,8581,4066,3143,8446
Nariño,Pupiales,17491,5758,5366,16431
Nariño,Ricaurte,19631,5882,5672,18067
Nariño,Roberto Payán,12667,3238,3038,10473
Nariño,Samaniego,29414,9581,10424,23727
Nariño,Sandoná,20773,7082,7028,18859
Nariño,San Bernardo,9202,2535,3167,8874
Nariño,San Lorenzo,18473,5607,5888,16653
Nariño,San Pablo,15389,4388,4646,12929
Nariño,San Pedro de Cartago,6843,2037,2238,6572
Nariño,Santa Bárbara,13427,2770,2777,8989
Nariño,Santacruz,10796,3620,3548,9869
Nariño,Sapuyes,7346,2136,2320,7041
Nariño,Taminango,17854,6589,5566,15412
Nariño,Tangua,13507,3834,3372,10331
Nariño,San Andrés de Tumaco,253637,47491,44804,138091
Nariño,Túquerres,44729,14563,13985,42413
Nariño,Yacuanquer,10938,3600,3591,10579
Norte de Santander,Cúcuta,711715,231878,185450,629414
Norte de Santander,Abrego,31786,9430,8455,30191
Norte de Santander,Arboledas,9605,3024,2396,8202
Norte de Santander,Bochalema,8105,2968,2147,6972
Norte de Santander,Bucarasica,6248,1559,1264,4698
Norte de Santander,Cácota,2781,1103,836,2733
Norte de Santander,Cachirá,10995,3195,2571,8642
Norte de Santander,Chinácota,17263,7318,5261,16021
Norte de Santander,Chitagá,11564,3603,2925,10554
Norte de Santander,Convención,18463,6027,5181,18112
Norte de Santander,Cucutilla,8095,2907,2328,7648
Norte de Santander,Durania,4541,1521,1322,4390
Norte de Santander,El Carmen,13144,4527,3630,12001
Norte de Santander,El Tarra,20093,6486,5510,19075
Norte de Santander,El Zulia,26700,9124,7743,26019
Norte de Santander,Gramalote,7295,2310,1937,6408
Norte de Santander,Hacarí,9998,2870,2624,9745
Norte de Santander,Herrán,6755,1086,1363,4702
Norte de Santander,Labateca,6268,2255,1718,5550
Norte de Santander,La Esperanza,11358,3728,3111,11040
Norte de Santander,La Playa,7582,2424,1954,7237
Norte de Santander,Los Patios,89091,28589,24249,81411
Norte de Santander,Lourdes,3954,1249,1021,3609
Norte de Santander,Mutiscua,4163,1444,1222,3891
Norte de Santander,Ocaña,118273,38243,33197,111643
Norte de Santander,Pamplona,50025,16713,14368,45521
Norte de Santander,Pamplonita,5402,1784,1513,4944
Norte de Santander,Puerto Santander,8502,2089,2398,8139
Norte de Santander,Ragonvalia,5899,1680,1497,5420
Norte de Santander,Salazar,10205,3496,2546,8768
Norte de Santander,San Calixto,12011,3298,2901,9961
Norte de Santander,San Cayetano,6978,2381,2054,6677
Norte de Santander,Santiago,3361,1087,925,3087
Norte de Santander,Sardinata,25142,7298,6281,21243
Norte de Santander,Silos,6162,2228,1680,5713
Norte de Santander,Teorama,16193,4151,3919,12727
Norte de Santander,Tibú,53586,16572,14750,51399
Norte de Santander,Toledo,15440,5220,4507,14962
Norte de Santander,Villa Caro,4996,1511,1251,4602
Norte de Santander,Villa del Rosario,101952,31418,28295,93735
Quindío,Armenia,295208,112337,95459,275641
Quindío,Buenavista,3095,1127,916,2741
Quindío,Calarca,72783,26102,24053,70662
Quindío,Circasia,28162,10084,9024,27135
Quindío,Córdoba,5642,2078,1950,5535
Quindío,Filandia,12066,4958,4015,11345
Quindío,Génova,7516,2747,2421,7121
Quindío,La Tebaida,33451,10805,10282,32564
Quindío,Montenegro,36751,12590,11715,35324
Quindío,Pijao,5219,1968,1612,4877
Quindío,Quimbaya,30751,11188,9888,29117
Quindío,Salento,9260,3323,2896,7578
Risaralda,Pereira,467269,173459,138945,409670
Risaralda,Apía,12406,5117,3572,10707
Risaralda,Balboa,6423,2119,1591,5009
Risaralda,Belén de Umbría,24690,9532,6976,21450
Risaralda,Dosquebradas,217178,77387,64576,194890
Risaralda,Guática,12158,4581,4026,11532
Risaralda,La Celia,7514,2864,2121,6178
Risaralda,La Virginia,27923,9994,8786,25900
Risaralda,Marsella,16940,6267,5327,15455
Risaralda,Mistrató,16950,5170,4381,16203
Risaralda,Pueblo Rico,16156,4651,3758,14429
Risaralda,Quinchía,27292,9282,7585,25213
Risaralda,Santa Rosa de Cabal,77838,27307,22355,71174
Risaralda,Santuario,12664,4465,3933,11787
Santander,Bucaramanga,581130,189442,175107,528855
Santander,Aguada,1855,875,581,1662
Santander,Albania,4129,2007,1231,3317
Santander,Aratoca,8229,3131,2423,7913
Santander,Barbosa,31050,12230,9719,28769
Santander,Barichara,10486,3802,2556,7647
Santander,Barrancabermeja,203537,74984,61967,199564
Santander,Betulia,5941,2204,1655,5230
Santander,Bolívar,11287,4383,3170,9567
Santander,Cabrera,1937,638,514,1621
Santander,California,2130,663,587,1832
Santander,Capitanejo,5505,2383,1910,5328
Santander,Carcasí,4292,1899,1304,4130
Santander,Cepitá,2015,909,590,1869
Santander,Cerrito,6729,2328,2017,6460
Santander,Charalá,12270,5170,3752,11035
Santander,Charta,2888,1529,938,2824
Santander,Chima,2875,1251,853,2364
Santander,Chipatá,5075,2220,1568,4341
Santander,Cimitarra,32947,13474,8277,25782
Santander,Concepción,5738,2215,1924,5300
Santander,Confines,3159,1066,868,2915
Santander,Contratación,3679,1674,1285,3296
Santander,Coromoro,5015,2816,1639,4816
Santander,Curití,12717,4660,3476,11653
Santander,El Carmen de Chucurí,20916,6878,6349,17638
Santander,El Guacamayo,2167,811,678,1643
Santander,El Peñón,5279,2358,1208,4097
Santander,El Playón,13713,4895,3865,12966
Santander,Encino,2552,1218,757,2334
Santander,Enciso,3461,1464,1085,3394
Santander,Florián,5562,2620,1559,4603
Santander,Floridablanca,291935,94928,85219,275109
Santander,Galán,2886,1464,884,2682
Santander,Gambita,4021,2344,1313,3529
Santander,Girón,160403,50815,45964,150610
Santander,Guaca,5916,2451,1751,5762
Santander,Guadalupe,4511,1949,1370,3880
Santander,Guapotá,2375,934,709,2052
Santander,Guavatá,4230,1812,1448,3751
Santander,Güepsa,5114,1765,1686,4405
Santander,Hato,2328,874,795,2120
Santander,Jesús María,3342,1754,1168,2991
Santander,Jordán,1314,398,330,1163
Santander,La Belleza,6198,2780,1857,5505
Santander,Landázuri,10384,4465,3207,9238
Santander,La Paz,4953,1863,1451,3989
Santander,Lebríja,41835,12409,12460,37214
Santander,Los Santos,14106,5942,3737,12433
Santander,Macaravita,2171,1028,756,2130
Santander,Málaga,20945,7861,6353,19884
Santander,Matanza,4976,2307,1495,4499
Santander,Mogotes,10527,4290,3055,10165
Santander,Molagavita,4137,1791,1255,3915
Santander,Ocamonte,5661,1926,1477,4537
Santander,Oiba,10800,4583,3405,10117
Santander,Onzaga,4183,2607,1450,3955
Santander,Palmar,1361,550,415,1253
Santander,Palmas del Socorro,2535,1103,806,2467
Santander,Páramo,4654,1455,1273,4144
Santander,Piedecuesta,170625,58268,47974,157425
Santander,Pinchote,5162,2349,1605,4508
Santander,Puente Nacional,14654,7092,4525,12586
Santander,Puerto Parra,7640,2991,2265,6861
Santander,Puerto Wilches,32791,12279,9564,31698
Santander,Rionegro,26438,9778,8090,25266
Santander,Sabana de Torres,33055,11974,8820,27845
Santander,San Andrés,8683,3957,2719,8035
Santander,San Benito,2950,1150,941,2706
Santander,San Gil,56037,21346,18500,54687
Santander,San Joaquín,2241,1264,749,2167
Santander,San José de Miranda,4367,1964,1282,4153
Santander,San Miguel,2531,1157,813,2433
Santander,San Vicente de Chucurí,33133,13320,10416,29427
Santander,Santa Bárbara,2401,964,745,2239
Santander,Santa Helena del Opón,3389,1669,1103,3166
Santander,Simacota,10042,3352,2490,7842
Santander,Socorro,32158,11417,9316,29997
Santander,Suaita,10031,4845,3295,8771
Santander,Sucre,7202,2713,2000,6044
Santander,Suratá,3975,1649,1118,3520
Santander,Tona,7373,3096,2117,6680
Santander,Valle de San José,6084,2071,1789,5648
Santander,Vélez,24356,8955,6814,19376
Santander,Vetas,2114,704,577,1762
Santander,Villanueva,7873,2798,2140,6738
Santander,Zapatoca,9466,3816,2889,8997
Sucre,Sincelejo,277773,85288,75407,274622
Sucre,Buenavista,10441,2975,2666,10007
Sucre,Caimito,15231,3567,3812,13331
Sucre,Coloso,8623,2410,2307,7803
Sucre,Corozal,67371,19950,18717,66350
Sucre,Coveñas,18250,7543,4820,17091
Sucre,Chalán,4466,1275,1156,4425
Sucre,El Roble,9944,3108,2688,9786
Sucre,Galeras,21982,5907,6017,20239
Sucre,Guaranda,17713,4600,4249,15618
Sucre,La Unión,12349,3238,3232,11510
Sucre,Los Palmitos,22880,7258,6450,21831
Sucre,Majagual,36650,10227,9197,32622
Sucre,Morroa,15061,4624,3932,14793
Sucre,Ovejas,22871,7504,6426,22384
Sucre,Palmito,14114,3447,3461,12534
Sucre,Sampués,46455,11746,11402,44617
Sucre,San Benito Abad,28673,8869,7439,25511
Sucre,San Juan de Betulia,13535,3949,3736,13437
Sucre,San Marcos,57672,15636,14906,53340
Sucre,San Onofre,49633,15662,12506,47952
Sucre,San Pedro,18590,5398,5093,18029
Sucre,San Luis de Sincé,30773,9263,8629,30188
Sucre,Sucre,29552,7855,7520,23971
Sucre,Santiago de Tolú,32922,10501,8934,32012
Sucre,Tolú Viejo,21339,6379,5366,20033
Tolima,Ibagué,529635,199346,174421,500686
Tolima,Alpujarra,4544,2320,1559,4091
Tolima,Alvarado,8697,3068,2288,6712
Tolima,Ambalema,6657,3197,2437,6524
Tolima,Anzoátegui,10217,3160,2304,7658
Tolima,Armero,12696,4971,4140,11440
Tolima,Ataco,19330,7681,5646,18237
Tolima,Cajamarca,18471,6017,5545,17309
Tolima,Carmen de Apicalá,10117,6000,3497,9643
Tolima,Casabianca,6373,2415,1930,5496
Tolima,Chaparral,50367,19015,15012,43795
Tolima,Coello,8248,3294,2649,7495
Tolima,Coyaima,22813,8919,6716,18999
Tolima,Cunday,8745,4122,2904,7762
Tolima,Dolores,8359,3555,3139,7274
Tolima,Espinal,70494,23976,22643,67983
Tolima,Falan,7693,2993,2230,6612
Tolima,Flandes,28389,17214,9184,27334
Tolima,Fresno,31069,10839,10150,28920
Tolima,Guamo,32940,13238,10981,30516
Tolima,Herveo,7363,2997,2163,6368
Tolima,Honda,24693,9934,8137,23616
Tolima,Icononzo,11887,4821,3695,10057
Tolima,Lérida,18574,7241,5788,17084
Tolima,Líbano,36773,14051,11468,33262
Tolima,Mariquita,37770,14603,11790,34505
Tolima,Melgar,36536,21383,13352,34136
Tolima,Murillo,4113,1475,1112,3389
Tolima,Natagaima,14835,6275,4835,14292
Tolima,Ortega,34607,10959,9804,29665
Tolima,Palocabildo,9730,3332,2938,9210
Tolima,Piedras,6711,2417,2136,5574
Tolima,Planadas,25764,7557,6329,21557
Tolima,Prado,8498,3715,2706,7893
Tolima,Purificación,23536,8909,7559,22682
Tolima,Rioblanco,22771,7284,5670,19090
Tolima,Roncesvalles,5459,2129,1737,5161
Tolima,Rovira,21674,7823,6567,20220
Tolima,Saldaña,14435,5389,4641,14099
Tolima,San Antonio,12896,4681,3569,11514
Tolima,San Luis,13553,5557,4307,12139
Tolima,Santa Isabel,5769,1966,1691,5128
Tolima,Suárez,3813,1548,1281,3446
Tolima,Valle de San Juan,5345,2351,1825,4502
Tolima,Venadillo,12817,4551,4011,12137
Tolima,Villahermosa,9283,3716,2950,8530
Tolima,Villarrica,5128,2571,1917,5021
Valle del Cauca,Cali,2227642,690275,611876,1822869
Valle del Cauca,Alcalá,14062,5496,4229,12186
Valle del Cauca,Andalucía,22436,7710,6977,18132
Valle del Cauca,Ansermanuevo,17448,7452,5655,15668
Valle del Cauca,Argelia,5397,2109,1750,5008
Valle del Cauca,Bolívar,16021,6012,4754,13954
Valle del Cauca,Buenaventura,308188,94656,74299,258445
Valle del Cauca,Guadalajara de Buga,127545,40672,39317,115821
Valle del Cauca,Bugalagrande,24318,8060,7245,22052
Valle del Cauca,Caicedonia,28825,9822,9617,26357
Valle del Cauca,Calima,18054,8373,5639,16054
Valle del Cauca,Candelaria,91825,26221,25871,84661
Valle del Cauca,Cartago,135729,45065,40753,118803
Valle del Cauca,Dagua,48443,21504,14231,39665
Valle del Cauca,El Águila,8909,3607,2472,7393
Valle del Cauca,El Cairo,6845,3262,2145,6179
Valle del Cauca,El Cerrito,56470,19717,17648,53983
Valle del Cauca,El Dovio,8886,3349,2914,8513
Valle del Cauca,Florida,57374,19006,17227,54207
Valle del Cauca,Ginebra,22741,7122,6570,19069
Valle del Cauca,Guacarí,33191,10994,10266,30275
Valle del Cauca,Jamundí,159877,55322,41733,131806
Valle del Cauca,La Cumbre,16316,8695,4752,12879
Valle del Cauca,La Unión,33953,11588,10402,29388
Valle del Cauca,La Victoria,12174,4642,3997,11058
Valle del Cauca,Obando,12312,4327,3869,10970
Valle del Cauca,Palmira,349294,115355,105387,302642
Valle del Cauca,Pradera,47615,14658,13780,43552
Valle del Cauca,Restrepo,15307,5316,4399,12816
Valle del Cauca,Riofrío,15554,5648,5206,14045
Valle del Cauca,Roldanillo,36797,12937,10536,31658
Valle del Cauca,San Pedro,16942,5469,4864,15450
Valle del Cauca,Sevilla,42133,14914,13145,36827
Valle del Cauca,Toro,14612,5016,4167,12091
Valle del Cauca,Trujillo,19226,6233,5457,16688
Valle del Cauca,Tuluá,212685,70421,66328,187159
Valle del Cauca,Ulloa,5465,1853,1638,4844
Valle del Cauca,Versalles,7263,3011,2238,6233
Valle del Cauca,Vijes,12734,4780,3532,10766
Valle del Cauca,Yotoco,16019,5991,5194,15325
Valle del Cauca,Yumbo,107334,37086,31677,95040
Valle del Cauca,Zarzal,41925,15417,13283,39343
Arauca,Arauca,85585,26614,22772,75735
Arauca,Arauquita,49841,15736,13882,45268
Arauca,Cravo Norte,3925,1428,1171,3644
Arauca,Fortul,18938,6639,5405,17492
Arauca,Puerto Rondón,4399,1656,1298,4169
Arauca,Saravena,55554,20381,18273,52884
Arauca,Tame,43932,15206,12460,40311
Casanare,Yopal,168433,62720,53102,156942
Casanare,Aguazul,36915,14233,12119,33440
Casanare,Chameza,2500,905,734,2009
Casanare,Hato Corozal,12328,4298,3263,11431
Casanare,La Salina,1417,484,398,1227
Casanare,Maní,17211,5088,4499,13291
Casanare,Monterrey,17537,6875,5483,14828
Casanare,Nunchía,8826,2942,2651,8469
Casanare,Orocué,12340,2752,2409,8142
Casanare,Paz de Ariporo,36277,12292,10925,34446
Casanare,Pore,11967,3926,3739,10675
Casanare,Recetor,1634,603,492,1247
Casanare,Sabanalarga,3625,1514,1160,3046
Casanare,Sácama,2090,690,612,1675
Casanare,San Luis de Palenque,8466,2622,2266,7537
Casanare,Támara,6873,3057,2065,6317
Casanare,Tauramena,23527,7853,6838,21709
Casanare,Trinidad,13233,3905,3618,11734
Casanare,Villanueva,35305,12024,11757,31727
Putumayo,Mocoa,56398,18576,18556,48422
Putumayo,Colón,5407,2029,2012,5204
Putumayo,Orito,37745,14592,13568,33003
Putumayo,Puerto Asís,64867,23383,20532,57255
Putumayo,Puerto Caicedo,16095,4336,5239,11122
Putumayo,Puerto Guzmán,35390,6275,5959,17495
Putumayo,Leguízamo,28468,6274,6665,20045
Putumayo,Sibundoy,14940,5197,5299,14104
Putumayo,San Francisco,5645,2141,2085,5572
Putumayo,San Miguel,18780,5668,5264,14054
Putumayo,Santiago,7290,2748,2586,6836
Putumayo,Valle del Guamuez,33457,11600,11643,27455
Putumayo,Villagarzón,23700,8034,7645,22630
Archipiélago de San Andrés,San Andrés,55291,16405,14672,43754
Archipiélago de San Andrés,Providencia,5989,2005,1682,4545
Amazonas,Leticia,48144,11611,11294,42844
Amazonas,El Encanto (ANM),2100,425,413,1885
Amazonas,La Chorrera (ANM),2967,689,448,2357
Amazonas,La Pedrera (ANM),3820,826,745,3781
Amazonas,La Victoria (ANM),644,43,40,166
Amazonas,Miriti - Paraná (ANM),1850,179,179,1023
Amazonas,Puerto Alegría (ANM),748,182,167,681
Amazonas,Puerto Arica (ANM),1013,254,214,794
Amazonas,Puerto Nariño,9744,1578,1796,7896
Amazonas,Puerto Santander (ANM),1758,374,301,1450
Amazonas,Tarapacá (ANM),3801,750,693,3179
Guainía,Inírida,31514,8835,7671,30104
Guainía,Barranco Minas (ANM),8088,1143,1019,7207
Guainía,Mapiripana (ANM),1022,180,134,1011
Guainía,San Felipe (ANM),1667,279,274,1411
Guainía,Puerto Colombia (ANM),1874,328,313,1643
Guainía,La Guadalupe (ANM),279,42,41,222
Guainía,Cacahual (ANM),863,182,132,839
Guainía,Pana Pana (ANM),1899,241,237,1182
Guainía,Morichal (ANM),908,174,132,812
Guaviare,San José del Guaviare,52815,18959,15050,48086
Guaviare,Calamar,9528,3375,2773,8648
Guaviare,El Retorno,13653,4405,3388,11340
Guaviare,Miraflores,6771,1920,1606,5007
Vaupés,Mitú,29850,5565,5280,27709
Vaupés,Caruru,2915,535,537,2827
Vaupés,Pacoa (ANM),4042,624,596,3956
Vaupés,Taraira,2215,402,411,2010
Vaupés,Papunaua (ANM),727,121,103,432
Vaupés,Yavaraté (ANM),1048,93,93,756
Vichada,Puerto Carreño,20936,6866,5816,19788
Vichada,La Primavera,10122,3326,2739,9690
Vichada,Santa Rosalía,4059,1130,1074,4026
Vichada,Cumaribo,72691,9476,9533,43138
