Location,Department-2018,Municipality-2018,Total 2018,Housing units 2018,Households 2018,People 2018,Total 2005,Households 2005,var_pop,var_households,household/housing ratio,location,point,latitude,longitude,altitude
"Turbaná, Bolívar",Bolívar,Turbaná,16403,4455,4065,15550,13507,2514.0,0.01505498426823837,0.03765619399237474,0.9124579124579124,"Turbana, Dique, Bolívar, Caribe, Colombia","(10.233115999999999, -75.448718562246, 0.0)",10.233115999999999,-75.448718562246,0.0
"Villanueva, Bolívar",Bolívar,Villanueva,23777,5504,6001,21135,17622,3615.0,0.023311454489809202,0.03975722797243031,1.090297965116279,"Villanueva, Dique, Bolívar, Caribe, Colombia","(10.4444032, -75.2730468, 0.0)",10.4444032,-75.2730468,0.0
"Zambrano, Bolívar",Bolívar,Zambrano,11880,3385,3011,11367,10246,2258.0,0.011447249260598369,0.022384768196724414,0.8895125553914328,"Zambrano, Montes de María, Bolívar, Caribe, Colombia","(9.7414779, -74.8177731, 0.0)",9.7414779,-74.8177731,0.0
"Tunja, Boyacá",Boyacá,Tunja,172548,64550,55679,167991,152419,42449.0,0.009587371130311162,0.02108849244137634,0.862571649883811,"Tunja, Centro, Boyacá, Región Andina, 150001, Colombia","(5.5324313, -73.3616014, 0.0)",5.5324313,-73.3616014,0.0
"Almeida, Boyacá",Boyacá,Almeida,1910,981,690,1582,2171,752.0,-0.00980428680455181,-0.006596968928940461,0.7033639143730887,"Almeida, Oriente, Boyacá, Región Andina, Colombia","(4.960139, -73.37887778443354, 0.0)",4.960139,-73.37887778443354,0.0
"Aquitania, Boyacá",Boyacá,Aquitania,15377,6702,4621,13860,16087,4394.0,-0.0034661793347622316,0.003882220827905236,0.6894956729334527,"Aquitania, Sagamuxi, Boyacá, Región Andina, 152420, Colombia","(5.4210537500000004, -72.89539400053485, 0.0)",5.4210537500000004,-72.89539400053485,0.0
"Arcabuco, Boyacá",Boyacá,Arcabuco,5831,2533,1820,5465,5090,1354.0,0.01050950880913093,0.023012590531566568,0.718515594157126,"Arcabuco, Ricaurte, Boyacá, Región Andina, Colombia","(5.75520695, -73.45137111659105, 0.0)",5.75520695,-73.45137111659105,0.0
"Belén, Boyacá",Boyacá,Belén,7481,3691,2463,7322,8471,2328.0,-0.009514607907672556,0.004345614089592109,0.667298835004064,"Belén, Tundama, Boyacá, Región Andina, Colombia","(6.016958300000001, -72.91724656921113, 0.0)",6.016958300000001,-72.91724656921113,0.0
"Berbeo, Boyacá",Boyacá,Berbeo,1596,680,575,1453,1862,555.0,-0.01178771860532013,0.0027269365035713644,0.8455882352941176,"Berbeo, Lengupá, Boyacá, Región Andina, Colombia","(5.229445950000001, -73.12617194210955, 0.0)",5.229445950000001,-73.12617194210955,0.0
"Betéitiva, Boyacá",Boyacá,Betéitiva,1963,1512,748,1895,2413,541.0,-0.01575131225352666,0.02523496760744437,0.4947089947089947,"Betéitiva, Valderrama, Boyacá, Región Andina, 150617, Colombia","(5.92236905, -72.85902530278791, 0.0)",5.92236905,-72.85902530278791,0.0
"Boavita, Boyacá",Boyacá,Boavita,5059,2629,1853,5024,6467,1798.0,-0.018710700802925473,0.002320458201958031,0.7048307341194371,"Boavita, Norte, Boyacá, Región Andina, 151060, Colombia","(6.33216125, -72.60951009870689, 0.0)",6.33216125,-72.60951009870689,0.0
"Boyacá, Boyacá",Boyacá,Boyacá,5089,2963,1527,4472,4947,1370.0,0.002179295478504928,0.008380636895722438,0.5153560580492744,"Boyacá, Márquez, Boyacá, Región Andina, Colombia","(5.4428193, -73.37452239255038, 0.0)",5.4428193,-73.37452239255038,0.0
"Briceño, Boyacá",Boyacá,Briceño,2198,1038,706,2054,2669,673.0,-0.014824102916909054,0.003689088601859236,0.6801541425818882,"Briceño, Occidente, Boyacá, Región Andina, Colombia","(5.6620095, -73.92082136747689, 0.0)",5.6620095,-73.92082136747689,0.0
"Buenavista, Boyacá",Boyacá,Buenavista,4409,2272,1538,4240,5759,1555.0,-0.020337721185807678,-0.0008452329390548075,0.6769366197183099,"Buenavista, Occidente, Boyacá, Región Andina, 155067, Colombia","(5.4875315, -73.95630761620356, 0.0)",5.4875315,-73.95630761620356,0.0
"Busbanzá, Boyacá",Boyacá,Busbanzá,1118,456,321,903,875,214.0,0.01903056749786236,0.031681116530724474,0.7039473684210527,"Busbanzá, Tundama, Boyacá, Región Andina, Colombia","(5.8507677000000005, -72.87440382813446, 0.0)",5.8507677000000005,-72.87440382813446,0.0
"Caldas, Boyacá",Boyacá,Caldas,3143,1637,1029,3086,3893,1014.0,-0.016326962604457318,0.0011302191154727304,0.628588882101405,"Caldas, Occidente, Boyacá, Región Andina, Colombia","(5.57514545, -73.8829940342499, 0.0)",5.57514545,-73.8829940342499,0.0
"Campohermoso, Boyacá",Boyacá,Campohermoso,3121,1379,1006,2705,3949,1115.0,-0.017937852605899973,-0.007882029013610792,0.7295141406816533,"Campohermoso, Lengupá, Boyacá, Región Andina, Colombia","(4.998398699999999, -73.12033660522744, 0.0)",4.998398699999999,-73.12033660522744,0.0
"Cerinza, Boyacá",Boyacá,Cerinza,3713,2415,1219,3636,4199,1142.0,-0.00941739339212333,0.005031828051667686,0.5047619047619047,"Cerinza, Tundama, Boyacá, Región Andina, Colombia","(5.97102995, -72.96814752050724, 0.0)",5.97102995,-72.96814752050724,0.0
"Chinavita, Boyacá",Boyacá,Chinavita,3209,1961,1129,2842,3651,1149.0,-0.009877184744638168,-0.0013498353592182877,0.5757266700662927,"Chinavita, Neira, Boyacá, Región Andina, Colombia","(5.2062439000000005, -73.33495822266192, 0.0)",5.2062439000000005,-73.33495822266192,0.0
"Chiquinquirá, Boyacá",Boyacá,Chiquinquirá,56054,20728,16310,52321,54949,13911.0,0.0015327141384491316,0.012313542909580644,0.7868583558471632,"Chiquinquirá, Occidente, Boyacá, Región Andina, 154640, Colombia","(5.6182733, -73.8167476, 0.0)",5.6182733,-73.8167476,0.0
"Chiscas, Boyacá",Boyacá,Chiscas,3994,2124,1299,3587,5175,1332.0,-0.019729400405270714,-0.0019278957116758422,0.6115819209039548,"Chiscas, Gutiérrez, Boyacá, Región Andina, Colombia","(6.6767804, -72.40674385862157, 0.0)",6.6767804,-72.40674385862157,0.0
"Chita, Boyacá",Boyacá,Chita,8045,4599,2654,7778,10405,2539.0,-0.019592875040408075,0.0034133224080190594,0.5770819743422483,"Chita, Valderrama, Boyacá, Región Andina, Colombia","(6.06537305, -72.43155745155386, 0.0)",6.06537305,-72.43155745155386,0.0
"Chitaraque, Boyacá",Boyacá,Chitaraque,5830,2352,1734,5013,6500,1573.0,-0.008333175492214684,0.007524030043447594,0.7372448979591837,"Chitaraque, Ricaurte, Boyacá, Región Andina, Colombia","(5.981810100000001, -73.42916491303403, 0.0)",5.981810100000001,-73.42916491303403,0.0
"Chivatá, Boyacá",Boyacá,Chivatá,2788,1091,836,2783,4977,1124.0,-0.043598178630441464,-0.02251350330038404,0.766269477543538,"Chivatá, Centro, Boyacá, Región Andina, Colombia","(5.5803633999999995, -73.24866201833882, 0.0)",5.5803633999999995,-73.24866201833882,0.0
"Ciénega, Boyacá",Boyacá,Ciénega,4635,2005,1511,4492,5096,1350.0,-0.007267289173516045,0.008704363864277642,0.7536159600997506,"Ciénega, Márquez, Boyacá, Región Andina, Colombia","(5.38862195, -73.2780402877506, 0.0)",5.38862195,-73.2780402877506,0.0
"Cómbita, Boyacá",Boyacá,Cómbita,12970,4285,2913,12636,12752,2454.0,0.0013047640249279624,0.01327691436996048,0.6798133022170362,"Cómbita, Centro, Boyacá, Región Andina, 150201, Colombia","(5.68998355, -73.30920200943183, 0.0)",5.68998355,-73.30920200943183,0.0
"Coper, Boyacá",Boyacá,Coper,3619,1516,1188,3019,4047,1097.0,-0.008561457215945256,0.006148984760661946,0.783641160949868,"Coper, Occidente, Boyacá, Región Andina, Colombia","(5.4467242, -74.03515722066024, 0.0)",5.4467242,-74.03515722066024,0.0
"Corrales, Boyacá",Boyacá,Corrales,2498,961,798,2479,2481,676.0,0.00052542313976911,0.012844523674863995,0.8303850156087409,"Corrales, Tundama, Boyacá, Región Andina, 15215, Colombia","(5.82400485, -72.83969508169977, 0.0)",5.82400485,-72.83969508169977,0.0
"Covarachía, Boyacá",Boyacá,Covarachía,2806,1543,899,2628,3205,833.0,-0.010174966473153524,0.005882572643207684,0.5826312378483474,"Covarachía, Norte, Boyacá, Región Andina, 151040, Colombia","(6.511988049999999, -72.73190454278291, 0.0)",6.511988049999999,-72.73190454278291,0.0
"Cubará, Boyacá",Boyacá,Cubará,10319,3224,2831,10164,6462,1391.0,0.036659673251743685,0.05618365310862705,0.8781017369727047,"Cubará, Gutiérrez, Boyacá, Región Andina, Colombia","(6.87582015, -72.19904131394924, 0.0)",6.87582015,-72.19904131394924,0.0
"Cucaita, Boyacá",Boyacá,Cucaita,3725,1436,1018,3375,4474,1042.0,-0.013994690322830738,-0.0017908579738953323,0.7089136490250696,"Cucaita, pijaos, Centro, Boyacá, Región Andina, 154060, Colombia","(5.5431182, -73.4547788, 0.0)",5.5431182,-73.4547788,0.0
"Cuítiva, Boyacá",Boyacá,Cuítiva,1798,1041,598,1628,1969,523.0,-0.006964164995033495,0.010361721579782657,0.574447646493756,"Cuítiva, Sagamuxi, Boyacá, Región Andina, Colombia","(5.587281150000001, -72.95008542233742, 0.0)",5.587281150000001,-72.95008542233742,0.0
"Chíquiza, Boyacá",Boyacá,Chíquiza,4684,1959,1346,4347,5916,1306.0,-0.017801803409128958,0.002323325545312338,0.6870852475752935,"Chíquiza, Centro, Boyacá, Región Andina, Colombia","(5.6361305999999995, -73.44234198895234, 0.0)",5.6361305999999995,-73.44234198895234,0.0
"Chivor, Boyacá",Boyacá,Chivor,2479,816,595,1669,2126,575.0,0.011886471792031061,0.0026335667410071206,0.7291666666666666,"Chivor, Oriente, Boyacá, Región Andina, Colombia","(4.860095100000001, -73.35435288983632, 0.0)",4.860095100000001,-73.35435288983632,0.0
"Duitama, Boyacá",Boyacá,Duitama,122436,47214,38704,117606,105407,28358.0,0.011586563810980666,0.02421419046416884,0.8197568517812513,"Duitama, Tundama, Boyacá, Región Andina, Colombia","(5.8277055, -73.0338939, 0.0)",5.8277055,-73.0338939,0.0
"El Cocuy, Boyacá",Boyacá,El Cocuy,4215,1973,1327,3999,5383,1364.0,-0.018639197003789687,-0.0021132104871144364,0.6725798276735935,"El Cocuy, Gutiérrez, Boyacá, Región Andina, 151280, Colombia","(6.4076711, -72.4457503, 0.0)",6.4076711,-72.4457503,0.0
"El Espino, Boyacá",Boyacá,El Espino,3061,1418,971,2715,3914,864.0,-0.018731437631314907,0.00902150447631378,0.6847672778561354,"El Espino, Gutiérrez, Boyacá, Región Andina, Colombia","(6.506219700000001, -72.48060589162216, 0.0)",6.506219700000001,-72.48060589162216,0.0
"Firavitoba, Boyacá",Boyacá,Firavitoba,6662,3390,2172,6523,6177,1725.0,0.005831322742519962,0.01788273440121979,0.6407079646017699,"Firavitoba, Sagamuxi, Boyacá, Región Andina, Colombia","(5.6748886, -73.01757112474615, 0.0)",5.6748886,-73.01757112474615,0.0
"Floresta, Boyacá",Boyacá,Floresta,3266,1997,1111,3186,3833,1073.0,-0.012238477135476211,0.002680667119062008,0.556334501752629,"Floresta, Tundama, Boyacá, Región Andina, 150601, Colombia","(5.862837150000001, -72.9300059966024, 0.0)",5.862837150000001,-72.9300059966024,0.0
"Gachantivá, Boyacá",Boyacá,Gachantivá,2789,1840,978,2744,2985,845.0,-0.005210733567156511,0.011307532473600723,0.5315217391304348,"Gachantivá, Ricaurte, Boyacá, Región Andina, Colombia","(5.7422941000000005, -73.53603985241656, 0.0)",5.7422941000000005,-73.53603985241656,0.0
"Gameza, Boyacá",Boyacá,Gameza,4850,2475,1450,4395,4895,1263.0,-0.0007101762463996852,0.010677658473393414,0.5858585858585859,"Gámeza, Sagamuxi, Boyacá, Región Andina, 152020, Colombia","(5.8019513, -72.8049747, 0.0)",5.8019513,-72.8049747,0.0
"Garagoa, Boyacá",Boyacá,Garagoa,17932,7330,5189,14145,16195,4502.0,0.007868043466877195,0.010984449182226186,0.707912687585266,"Garagoa, Neira, Boyacá, Región Andina, 152860, Colombia","(5.08754645, -73.31602653764355, 0.0)",5.08754645,-73.31602653764355,0.0
"Guacamayas, Boyacá",Boyacá,Guacamayas,1865,1063,675,1790,2042,601.0,-0.006950247350491878,0.008972145659460695,0.6349952963311383,"Guacamayas, Gutiérrez, Boyacá, Región Andina, 151220, Colombia","(6.443237099999999, -72.51624238245242, 0.0)",6.443237099999999,-72.51624238245242,0.0
"Guateque, Boyacá",Boyacá,Guateque,10699,4407,3035,8123,9921,3028.0,0.005824323220045224,0.00017763800162762244,0.6886771046063082,"Guateque, Oriente, Boyacá, Región Andina, 153050, Colombia","(5.0062875, -73.4731334, 0.0)",5.0062875,-73.4731334,0.0
"Guayatá, Boyacá",Boyacá,Guayatá,3400,1839,1292,3112,6018,2312.0,-0.042970922122250954,-0.04377610714518698,0.7025557368134856,"Guayatá, Oriente, Boyacá, Región Andina, 153040, Colombia","(4.937329, -73.49967354962982, 0.0)",4.937329,-73.49967354962982,0.0
"Güicán, Boyacá",Boyacá,Güicán,4279,1864,1420,3921,5920,1337.0,-0.02466136178039824,0.0046437159774770365,0.7618025751072961,"Guicán, Gutiérrez, Boyacá, Región Andina, Colombia","(6.5527371, -72.23704145756861, 0.0)",6.5527371,-72.23704145756861,0.0
"Iza, Boyacá",Boyacá,Iza,1947,928,709,1944,2081,582.0,-0.0051068249135040045,0.01529932205904716,0.7640086206896551,"Iza, Sagamuxi, Boyacá, Región Andina, Colombia","(5.61966755, -72.96139284084254, 0.0)",5.61966755,-72.96139284084254,0.0
"Jenesano, Boyacá",Boyacá,Jenesano,7200,4162,2159,6333,7287,2157.0,-0.0009234896796297409,7.129362785840421e-05,0.5187409899086978,"Jenesano, Márquez, Boyacá, Región Andina, 153601, Colombia","(5.3728385, -73.38852474734892, 0.0)",5.3728385,-73.38852474734892,0.0
"Jericó, Boyacá",Boyacá,Jericó,3929,2042,1261,3540,4538,1176.0,-0.01102351738789431,0.005382604249009937,0.6175318315377081,"Jericó, Valderrama, Boyacá, Región Andina, Colombia","(6.13734945, -72.5818887747854, 0.0)",6.13734945,-72.5818887747854,0.0
"Labranzagrande, Boyacá",Boyacá,Labranzagrande,3526,1556,1109,3075,5231,1560.0,-0.029885733471601728,-0.025906748783092848,0.7127249357326478,"Labranzagrande, La Libertad, Boyacá, Región Andina, Colombia","(5.54539925, -72.5974873013792, 0.0)",5.54539925,-72.5974873013792,0.0
"La Capilla, Boyacá",Boyacá,La Capilla,2689,1226,902,2300,3052,1019.0,-0.009693309146627027,-0.009337860638894302,0.7357259380097879,"La Capilla, Oriente, Boyacá, Región Andina, Colombia","(5.1111878, -73.45666528085088, 0.0)",5.1111878,-73.45666528085088,0.0
"La Victoria, Boyacá",Boyacá,La Victoria,1118,513,386,956,1645,417.0,-0.02927068233049246,-0.005924599342590264,0.7524366471734892,"La Victoria, Occidente, Boyacá, Región Andina, Colombia","(5.5152589, -74.23548917208618, 0.0)",5.5152589,-74.23548917208618,0.0
"La Uvita, Boyacá",Boyacá,La Uvita,2999,1813,1115,2872,3390,1031.0,-0.009382706781900674,0.006043202287438376,0.6150027578599007,"La Uvita, Norte, Boyacá, Región Andina, Colombia","(6.26656335, -72.54131072126492, 0.0)",6.26656335,-72.54131072126492,0.0
"Villa de Leyva, Boyacá",Boyacá,Villa de Leyva,16139,7457,4844,14406,9645,2635.0,0.04039445764352645,0.04794929632729317,0.6495909883331098,"Villa de Leyva, Ricaurte, Boyacá, Región Andina, Colombia","(5.6336805, -73.523548, 0.0)",5.6336805,-73.523548,0.0
"Macanal, Boyacá",Boyacá,Macanal,4976,2142,1373,3568,4611,1397.0,0.005877327358990714,-0.001332108377130048,0.6409897292250234,"Macanal, Neira, Boyacá, Región Andina, 152840, Colombia","(4.98185045, -73.28546066152629, 0.0)",4.98185045,-73.28546066152629,0.0
"Maripí, Boyacá",Boyacá,Maripí,5741,2682,1784,5354,7680,1845.0,-0.02213489599035201,-0.002582908025316133,0.6651752423564504,"Maripí, Occidente, Boyacá, Región Andina, 154820, Colombia","(5.5495156, -74.0046921, 0.0)",5.5495156,-74.0046921,0.0
"Miraflores, Boyacá",Boyacá,Miraflores,8847,3972,3160,8274,9455,2812.0,-0.005099666446744977,0.009015477854378506,0.7955689828801611,"Miraflores, Lengupá, Boyacá, Región Andina, Colombia","(5.1514125, -73.17051515322876, 0.0)",5.1514125,-73.17051515322876,0.0
"Mongua, Boyacá",Boyacá,Mongua,4636,2305,1421,4300,5080,1365.0,-0.007010643522867288,0.003097589220498964,0.6164859002169197,"Mongua, Sagamuxi, Boyacá, Región Andina, Colombia","(5.69745905, -72.68591886709874, 0.0)",5.69745905,-72.68591886709874,0.0
"Monguí, Boyacá",Boyacá,Monguí,4234,3007,1355,3895,4901,1287.0,-0.01119015710049287,0.003968432358632645,0.45061523112736945,"Monguí, Sagamuxi, Boyacá, Región Andina, Colombia","(5.6981559, -72.83192673587394, 0.0)",5.6981559,-72.83192673587394,0.0
"Moniquirá, Boyacá",Boyacá,Moniquirá,22572,11667,7328,20848,21377,5901.0,0.004192967717824514,0.016799614217268166,0.6280963401045685,"Moniquirá, Ricaurte, Boyacá, Región Andina, Colombia","(5.86870335, -73.5440979007064, 0.0)",5.86870335,-73.5440979007064,0.0
"Motavita, Boyacá",Boyacá,Motavita,5569,1849,1423,5253,5926,1144.0,-0.004768130397631243,0.01692911790560281,0.7696051919956733,"Motavita, Centro, Boyacá, Región Andina, 154080, Colombia","(5.6124101500000005, -73.37766150522931, 0.0)",5.6124101500000005,-73.37766150522931,0.0
"Muzo, Boyacá",Boyacá,Muzo,8597,2473,2805,8323,9834,2673.0,-0.010287674866669594,0.003714736580504141,1.1342498989082086,"Muzo, Occidente, Boyacá, Región Andina, Colombia","(5.5321291, -74.1027796, 0.0)",5.5321291,-74.1027796,0.0
"Nobsa, Boyacá",Boyacá,Nobsa,15976,5412,4651,14651,14969,3708.0,0.005020731086093244,0.01758275775085716,0.8593865484109386,"Nobsa, Sagamuxi, Boyacá, Región Andina, Colombia","(5.77665425, -72.92602536892389, 0.0)",5.77665425,-72.92602536892389,0.0
"Nuevo Colón, Boyacá",Boyacá,Nuevo Colón,5121,2550,1646,5025,5962,1615.0,-0.01162849588317727,0.0014636197073760737,0.6454901960784314,"Nuevo Colón, Márquez, Boyacá, Región Andina, Colombia","(5.3528931, -73.44768916765554, 0.0)",5.3528931,-73.44768916765554,0.0
"Oicatá, Boyacá",Boyacá,Oicatá,2821,1218,934,2797,2770,623.0,0.0014043784340593835,0.031638644786415426,0.7668308702791461,"Oicatá, Centro, Boyacá, Región Andina, Colombia","(5.6170796, -73.27484921284284, 0.0)",5.6170796,-73.27484921284284,0.0
"Otanche, Boyacá",Boyacá,Otanche,8018,2736,2407,6997,10244,2541.0,-0.01866991356852865,-0.004158754907994888,0.8797514619883041,"Otanche, Occidente, Boyacá, Región Andina, Colombia","(5.74391565, -74.22081993928339, 0.0)",5.74391565,-74.22081993928339,0.0
"Pachavita, Boyacá",Boyacá,Pachavita,2467,1517,910,2275,2968,948.0,-0.014121306247535381,-0.0031419692467600235,0.5998681608437706,"Pachavita, Neira, Boyacá, Región Andina, Colombia","(5.14969005, -73.40449162873, 0.0)",5.14969005,-73.40449162873,0.0
"Páez, Boyacá",Boyacá,Páez,3283,1609,1092,2930,3242,937.0,0.0009671762756151558,0.011845211089087204,0.6786824114356743,"Páez, Lengupá, Boyacá, Región Andina, Colombia","(5.0943442999999995, -72.98790672151398, 0.0)",5.0943442999999995,-72.98790672151398,0.0
"Paipa, Boyacá",Boyacá,Paipa,33535,14324,10174,31141,27274,7228.0,0.01602362329721907,0.02664677049734898,0.7102764590896398,"Paipa, Tundama, Boyacá, Región Andina, Colombia","(5.831353549999999, -73.10741729437875, 0.0)",5.831353549999999,-73.10741729437875,0.0
"Pajarito, Boyacá",Boyacá,Pajarito,2390,889,699,1941,2168,586.0,0.007527287302895536,0.013656326719333478,0.7862767154105736,"Pajarito, La Libertad, Boyacá, Región Andina, Colombia","(5.37354545, -72.67528897729841, 0.0)",5.37354545,-72.67528897729841,0.0
"Panqueba, Boyacá",Boyacá,Panqueba,1717,980,549,1644,1781,471.0,-0.002811150709875365,0.011857467988912518,0.560204081632653,"Panqueba, Gutiérrez, Boyacá, Región Andina, Colombia","(6.4425602, -72.45541787734109, 0.0)",6.4425602,-72.45541787734109,0.0
"Pauna, Boyacá",Boyacá,Pauna,7185,3488,2433,6355,10155,2467.0,-0.026262120276061784,-0.0010669514594718876,0.6975344036697247,"Pauna, Occidente, Boyacá, Región Andina, 154801, Colombia","(5.69296165, -73.99311972509602, 0.0)",5.69296165,-73.99311972509602,0.0
"Paya, Boyacá",Boyacá,Paya,2593,731,629,2061,2587,604.0,0.00017821613650426116,0.0031246453100677307,0.8604651162790697,"Paya, La Libertad, Boyacá, Región Andina, 151820, Colombia","(5.65292525, -72.37592148995437, 0.0)",5.65292525,-72.37592148995437,0.0
"Paz de Río, Boyacá",Boyacá,Paz de Río,4285,2903,1434,4047,5083,1498.0,-0.013051092803896935,-0.00335306916698086,0.49397175335859456,"Paz de Río, Valderrama, Boyacá, Región Andina, Colombia","(6.02682935, -72.76314962038538, 0.0)",6.02682935,-72.76314962038538,0.0
"Pesca, Boyacá",Boyacá,Pesca,6852,3582,2159,6604,9322,2376.0,-0.023401574719591922,-0.0073401019748384755,0.6027359017308767,"Pesca, Sagamuxi, Boyacá, Región Andina, Colombia","(5.49694285, -73.09337938238758, 0.0)",5.49694285,-73.09337938238758,0.0
"Pisba, Boyacá",Boyacá,Pisba,1763,799,544,1582,1481,357.0,0.013497929211208293,0.032931664804000116,0.6808510638297872,"Pisba, La Libertad, Boyacá, Región Andina, Colombia","(5.73589315, -72.43887654156455, 0.0)",5.73589315,-72.43887654156455,0.0
"Puerto Boyacá, Boyacá",Boyacá,Puerto Boyacá,46736,19647,14930,44784,49912,13700.0,-0.005044671853302485,0.0066355164971036995,0.7599124548277091,"Puerto Boyacá, Occidente, Boyacá, Región Andina, Colombia","(5.9756376, -74.5882837, 0.0)",5.9756376,-74.5882837,0.0
"Quípama, Boyacá",Boyacá,Quípama,4889,2053,1690,4194,8405,2168.0,-0.04082325698071476,-0.01897735389877564,0.8231855820750121,"Quípama, Occidente, Boyacá, Región Andina, Colombia","(5.5520248, -74.17723102490089, 0.0)",5.5520248,-74.17723102490089,0.0
"Ramiriquí, Boyacá",Boyacá,Ramiriquí,9887,4715,2729,8889,9700,2513.0,0.0014699159925311012,0.006363080709898439,0.5787910922587487,"Ramiriquí, Márquez, Boyacá, Región Andina, Colombia","(5.3291259, -73.30420599813321, 0.0)",5.3291259,-73.30420599813321,0.0
"Ráquira, Boyacá",Boyacá,Ráquira,7877,4856,2499,7312,12299,2497.0,-0.03369395658032659,6.158963157720798e-05,0.5146210873146623,"Ráquira, Ricaurte, Boyacá, Región Andina, Colombia","(5.4969333, -73.6252565720087, 0.0)",5.4969333,-73.6252565720087,0.0
"Rondón, Boyacá",Boyacá,Rondón,2407,1630,885,2230,2934,857.0,-0.015114270751805492,0.0024761164028208604,0.5429447852760736,"Rondón, Lengupá, Boyacá, Región Andina, Colombia","(5.3607436, -73.19729006157985, 0.0)",5.3607436,-73.19729006157985,0.0
"Saboyá, Boyacá",Boyacá,Saboyá,13588,6009,3405,11161,12611,3221.0,0.005756319789525621,0.004282456641377497,0.5666500249625561,"Saboyá, Occidente, Boyacá, Región Andina, 154601, Colombia","(5.704371, -73.74133899242278, 0.0)",5.704371,-73.74133899242278,0.0
"Sáchica, Boyacá",Boyacá,Sáchica,5452,2000,1523,4823,3783,857.0,0.028511596540696793,0.045223487006249785,0.7615,"Sáchica, Ricaurte, Boyacá, Región Andina, 153880, Colombia","(5.57776855, -73.53993302727949, 0.0)",5.57776855,-73.53993302727949,0.0
"Samacá, Boyacá",Boyacá,Samacá,18298,6624,5019,17542,17352,3995.0,0.004091732273902471,0.017707812963761338,0.7576992753623188,"Samacá, Centro, Boyacá, Región Andina, Colombia","(5.47286745, -73.50782394420114, 0.0)",5.47286745,-73.50782394420114,0.0
"San Eduardo, Boyacá",Boyacá,San Eduardo,1701,704,654,1572,1867,586.0,-0.007137219830931185,0.008480958343916267,0.9289772727272727,"San Eduardo, Lengupá, Boyacá, Región Andina, Colombia","(5.2370003999999994, -73.05266459503862, 0.0)",5.2370003999999994,-73.05266459503862,0.0
"San José de Pare, Boyacá",Boyacá,San José de Pare,4988,2118,1672,4658,5586,1488.0,-0.00867205885816913,0.009008610720301125,0.789423984891407,"San José de Pare, Ricaurte, Boyacá, Región Andina, 154460, Colombia","(6.0004694999999995, -73.53632793256998, 0.0)",6.0004694999999995,-73.53632793256998,0.0
"San Luis de Gaceno, Boyacá",Boyacá,San Luis de Gaceno,5499,2171,1762,4551,6158,1687.0,-0.008668806707838317,0.0033515828009307302,0.8116075541225242,"San Luís de Gaceno, Neira, Boyacá, Región Andina, Colombia","(4.8255812, -73.13804503486273, 0.0)",4.8255812,-73.13804503486273,0.0
"San Mateo, Boyacá",Boyacá,San Mateo,3332,1943,1197,3307,4551,1371.0,-0.02369733762426185,-0.01038584262435771,0.6160576428203809,"San Mateo, Norte, Boyacá, Región Andina, 151201, Colombia","(6.4167219499999995, -72.57682123606187, 0.0)",6.4167219499999995,-72.57682123606187,0.0
"San Miguel de Sema, Boyacá",Boyacá,San Miguel de Sema,3009,1362,993,2901,4028,1070.0,-0.02218574675521079,-0.005728396225918253,0.7290748898678414,"San Miguel de Sema, Occidente, Boyacá, Región Andina, 153820, Colombia","(5.53183135, -73.75684834169377, 0.0)",5.53183135,-73.75684834169377,0.0
"San Pablo de Borbur, Boyacá",Boyacá,San Pablo de Borbur,6608,2365,2045,5839,9867,2507.0,-0.03036891203608305,-0.015546276315039131,0.864693446088795,"San Pablo de Borbur, Occidente, Boyacá, Región Andina, Colombia","(5.6577541, -74.0625068, 0.0)",5.6577541,-74.0625068,0.0
"Santana, Boyacá",Boyacá,Santana,7565,2780,2404,6826,7680,1832.0,-0.001159880657782053,0.0211219571763257,0.8647482014388489,"Santana, Ricaurte, Boyacá, Región Andina, 154440, Colombia","(6.055599150000001, -73.48209236741033, 0.0)",6.055599150000001,-73.48209236741033,0.0
"Santa María, Boyacá",Boyacá,Santa María,3559,1454,1169,3109,4498,1223.0,-0.017850545515044947,-0.0034676793731034383,0.8039889958734525,"Santa María, Neira, Boyacá, Región Andina, Colombia","(4.82134675, -73.27213961772512, 0.0)",4.82134675,-73.27213961772512,0.0
"Santa Rosa de Viterbo, Boyacá",Boyacá,Santa Rosa de Viterbo,13066,5152,4052,11329,11821,2862.0,0.007732498360326634,0.027106244928179368,0.7864906832298136,"Santa Rosa de Viterbo, Tundama, Boyacá, Región Andina, 150480, Colombia","(5.9034022, -72.98536907340002, 0.0)",5.9034022,-72.98536907340002,0.0
"Santa Sofía, Boyacá",Boyacá,Santa Sofía,3179,2064,1032,2959,3012,911.0,0.004159578824396659,0.00963931942942775,0.5,"Santa Sofía, Ricaurte, Boyacá, Región Andina, 154240, Colombia","(5.7333558, -73.60500527932183, 0.0)",5.7333558,-73.60500527932183,0.0
"Sativanorte, Boyacá",Boyacá,Sativanorte,2221,1766,798,2026,2661,851.0,-0.013807212857279372,-0.004934212054456211,0.45186862967157415,"Sativanorte, Norte, Boyacá, Región Andina, LA MESETA, Colombia","(6.1259742, -72.7446892606064, 0.0)",6.1259742,-72.7446892606064,0.0
