Location,Department-2018,Municipality-2018,Total 2018,Housing units 2018,Households 2018,People 2018,Total 2005,Households 2005,var_pop,var_households,household/housing ratio,location,point,latitude,longitude,altitude
"Ciudad Bolívar, Antioquia",Antioquia,Ciudad Bolívar,26118,9375,7495,23361,28090,7383.0,-0.005583500862823221,0.0011588302699470088,0.7994666666666667,"Ciudad Bolívar, Suroeste, Antioquia, Región Andina, Colombia","(5.8426417, -76.00307057907709, 0.0)",5.8426417,-76.00307057907709,0.0
"Briceño, Antioquia",Antioquia,Briceño,8039,2646,2032,5946,7953,1846.0,0.00082768706488201,0.0074119019087390825,0.7679516250944822,"Briceño, Norte, Antioquia, Región Andina, Colombia","(7.12021975, -75.58269735773685, 0.0)",7.12021975,-75.58269735773685,0.0
"Buriticá, Antioquia",Antioquia,Buriticá,9354,2851,2214,7409,6472,1543.0,0.02873739634093586,0.02816410478797282,0.7765696246930901,"Buriticá, Occidente, Antioquia, Región Andina, Colombia","(6.8110809, -75.92084701105912, 0.0)",6.8110809,-75.92084701105912,0.0
"Cáceres, Antioquia",Antioquia,Cáceres,28996,9432,7594,26460,28145,6124.0,0.0022940249906096,0.016687161203432277,0.8051314673452078,"Cáceres, Bajo Cauca, Antioquia, Región Andina, Colombia","(7.655719550000001, -75.2330647837909, 0.0)",7.655719550000001,-75.2330647837909,0.0
"Caicedo, Antioquia",Antioquia,Caicedo,8297,3135,2296,7018,7669,1837.0,0.006072809415427871,0.01730453150219957,0.7323763955342902,"Caicedo, Suroeste, Antioquia, Región Andina, Colombia","(6.42595665, -75.99210811258797, 0.0)",6.42595665,-75.99210811258797,0.0
"Caldas, Antioquia",Antioquia,Caldas,79638,26536,24476,76260,68157,18031.0,0.012047181875333823,0.023786219057116753,0.9223696110943623,"Caldas, Valle de Aburrá, Antioquia, Región Andina, Colombia","(6.05168765, -75.63035824143908, 0.0)",6.05168765,-75.63035824143908,0.0
"Campamento, Antioquia",Antioquia,Campamento,9203,3095,2211,7432,3400,803.0,0.0796063329631651,0.08102664817326977,0.7143780290791599,"Campamento, Norte, Antioquia, Región Andina, Colombia","(7.07756515, -75.29439464517998, 0.0)",7.07756515,-75.29439464517998,0.0
"Cañasgordas, Antioquia",Antioquia,Cañasgordas,15523,5354,4418,13595,16518,3564.0,-0.004767667675978249,0.016660619083937123,0.8251774374299589,"Cañasgordas, Occidente, Antioquia, Región Andina, Colombia","(6.8140438, -76.04624524545636, 0.0)",6.8140438,-76.04624524545636,0.0
"Caracolí, Antioquia",Antioquia,Caracolí,4582,2099,1500,3967,4747,1423.0,-0.002717627894367025,0.004061903334949379,0.7146260123868509,"Caracolí, Magdalena Medio, Antioquia, Región Andina, Colombia","(6.34713465, -74.73381470947078, 0.0)",6.34713465,-74.73381470947078,0.0
"Caramanta, Antioquia",Antioquia,Caramanta,4743,2076,1526,4269,5378,1519.0,-0.009618574341875852,0.0003537324907898487,0.7350674373795761,"Caramanta, Suroeste, Antioquia, Región Andina, Colombia","(5.56200475, -75.63420446768207, 0.0)",5.56200475,-75.63420446768207,0.0
